_id,RECORD ID,RECORD NAME,DATE OPENED,RECORD MODULE,RECORD STATUS,RECORD STATUS DATE,ADDRESS,BALANCE DUE,DATE ASSIGNED,DATE CLOSED,DATE COMPLETED,DESCRIPTION,JOB VALUE,RECORD TYPE GROUP,RECORD TYPE CATEGORY,RECORD TYPE TYPE,RECORD TYPE SUBTYPE,STATUS,APN,LICENSE NBR,BUSINESS NAME
7,CODE-14-0648,"",2014-06-10T00:00:00.000,Enforcement,In Progress,2014-06-10T10:56:11.000,"1435 BENT TRAIL CIR, SOUTHLAKE, TX 76092",0,"","","","JT, (Tues) 6/10 at 5:18a, front sprinklers running","",Enforcement,NA,Water Restriction,NA,In Progress,00234-8-10,"",""
6,CODE-14-0647,1828 Our Lane,2014-06-06T00:00:00.000,Enforcement,In Progress,2014-06-10T10:12:30.000,"1828 OUR LN, SOUTHLAKE, TX 76092",0,2014-06-06T00:00:00.000,"","",Reported that this trailer is abandoned and has rats and snakes.  The property also needs to be mowed.,"",Enforcement,NA,Property Maintenance Code,NA,In Progress,00363--2C03A1,"",""
15,CODE-14-0656,3120 W. Southlake Blvd.,2014-06-10T00:00:00.000,Enforcement,Noticed,2014-06-10T00:00:00.000,"3120 W SOUTHLAKE BLVD, #SHELL, SOUTHLAKE, TX 76092",0,2014-06-10T00:00:00.000,"","","Business complex has two ""FOR LEASE"" signs that do not comply with the sign ordinance.  Signs are blue with white lettering.","",Enforcement,NA,Signs,Other,Noticed,00305-3-5R7R-10,"",""
60,CODE-14-0698,"",2014-06-17T00:00:00.000,Enforcement,In Progress,2014-06-17T18:00:04.000,"102 CLEAR LAKE CT, SOUTHLAKE, TX 76092",0,"","","","RH, Tues, 6/17/2014 5:50:00, Front sprinklers running.","",Enforcement,NA,Water Restriction,NA,In Progress,00087-1-2R,"",""
4,CODE-14-0644,124 River Oaks Drive,2014-06-06T00:00:00.000,Enforcement,Noticed,2014-06-06T00:00:00.000,"124 RIVER OAKS DR, SOUTHLAKE, TX 76092",0,2014-06-06T00:00:00.000,"","",Empty lot has high grass/weeds.,"",Enforcement,NA,Tall Grass and Weeds,NA,Noticed,00399-1-9,"",""
343,CODE-14-0982,1621 E. Southlake Blvd. #150 (Floors N More),2014-07-16T00:00:00.000,Enforcement,Closed,2014-07-17T00:00:00.000,"1621 E SOUTHLAKE BLVD, #150, SOUTHLAKE, TX 76092",0,2014-07-16T00:00:00.000,2014-07-17T00:00:00.000,"","Floors n More has a ""SALE"" ground sign posted outside the business.","",Enforcement,NA,Signs,Other,Closed,00117-1-5,"",""
9,CODE-14-0650,"",2014-06-10T00:00:00.000,Enforcement,"",2014-06-10T15:53:42.000,1335 PROVINCE ,0,2014-06-10T00:00:00.000,"","","",0,Enforcement,NA,Water Restriction,NA,"",00239-7-23,"",""
59,CODE-14-0703,"",2014-06-17T00:00:00.000,Enforcement,In Progress,2014-06-17T18:11:11.000,"1008 CHIMNEY HILL TRL, SOUTHLAKE, TX 76092",0,"","","","Rh, Tues, 6/17/2014 6:53:00, Front sprinklers running. Broken head next to gas meter. Excessive run off.","",Enforcement,NA,Water Restriction,NA,In Progress,00299-2-25,"",""
14,CODE-14-0654,312 Boulder Drive,2014-06-10T00:00:00.000,Enforcement,In Progress,2014-06-11T08:21:58.000,"312 BOULDER DR, SOUTHLAKE, TX 76092",0,2014-06-09T00:00:00.000,"","",Reported that this property has a pool in the backyard that is not being maintained.,"",Enforcement,NA,Property Maintenance Code,NA,In Progress,00391-2-19,"",""
413,CODE-14-1054,"",2014-07-25T00:00:00.000,Enforcement,In Progress,2014-07-25T13:48:43.000,"950 SOUTHVIEW TRL, SOUTHLAKE, TX 76092",0,"","","","CC, 7/25/2014 6:43:00, watering in front yard ""wrong day"".","",Enforcement,NA,Water Restriction,NA,In Progress,00208-4-2,"",""
13,CODE-14-0658,1829 Our Lane,2014-06-10T00:00:00.000,Enforcement,Noticed,2014-06-10T00:00:00.000,"1829 OUR LN, SOUTHLAKE, TX 76092",0,2014-06-10T00:00:00.000,"","",Empty lot for sale has high grass/weeds.,"",Enforcement,NA,Tall Grass and Weeds,NA,Noticed,00107--6,"",""
51,CODE-14-0692,480 W. Southlake Blvd. (Southlake Oaks),2014-06-13T00:00:00.000,Enforcement,In Progress,2014-06-17T11:50:29.000,"480 W SOUTHLAKE BLVD, #SHELL, SOUTHLAKE, TX 76092",0,2014-06-13T00:00:00.000,"","",Reported that there is over flowing trash inside the dumpster area of Southlake Oaks shopping center.,"",Enforcement,NA,Garbage Collection,NA,In Progress,00187-1-2,"",""
49,CODE-14-0690,3151 Hilltop Drive,2014-06-13T00:00:00.000,Enforcement,In Progress,2014-06-17T10:55:46.000,"3151 HILLTOP DR, SOUTHLAKE, TX 76092",0,2014-06-13T00:00:00.000,"","",Reported that this property owner will not maintain his property and has junk vehicles.,"",Enforcement,NA,Property Maintenance Code,NA,In Progress,00066--16R,"",""
50,CODE-14-0691,2008 E State Hwy 114,2014-06-12T00:00:00.000,Enforcement,Closed,2014-06-12T00:00:00.000,"2008 E SH 114, SOUTHLAKE, TX 76092",0,2014-06-12T00:00:00.000,2014-06-12T00:00:00.000,"","Reported that outside of Texas U can Paint in the parking lot after classes the students are smoking, drinking and are very loud.","",Enforcement,NA,Noise,NA,Closed,00174-B-A,"",""
84,CODE-14-0728,1860 Randol Mill Ave.,2014-06-18T00:00:00.000,Enforcement,Noticed,2014-06-18T00:00:00.000,"1860 RANDOL MILL AVE, SOUTHLAKE, TX 76092",0,2014-06-18T00:00:00.000,"","",Property has high grass/weeds and not being maintained.,"",Enforcement,NA,Property Maintenance Code,NA,Noticed,00182-1-2,"",""
86,CODE-14-0727,1505 Cedar Court,2014-06-18T00:00:00.000,Enforcement,Noticed,2014-06-18T00:00:00.000,"1505 CEDAR CT, SOUTHLAKE, TX 76092",0,2014-06-18T00:00:00.000,"","",Property owner has a white box truck parked/stored on the property.,"",Enforcement,NA,Zoning,Parking,Noticed,00294-1-15B,"",""
85,CODE-14-0726,1904 Ptarmigan St.,2014-06-18T00:00:00.000,Enforcement,In Progress,2014-06-19T09:06:22.000,"1904 PTARMIGAN ST, SOUTHLAKE, TX 76092",0,2014-06-17T00:00:00.000,"","",Reported that this property owner has weeds that are growing along the fence line causing damange to the property line fence.,"",Enforcement,NA,Tall Grass and Weeds,NA,In Progress,00163-2-7R,"",""
11,CODE-14-0657,1833 Our Lane,2014-06-10T00:00:00.000,Enforcement,Noticed,2014-06-10T00:00:00.000,"1833 OUR LN, SOUTHLAKE, TX 76092",0,2014-06-10T00:00:00.000,"","",Empty lot for sale has high grass/weeds.,"",Enforcement,NA,Tall Grass and Weeds,NA,Noticed,00363--2C13,"",""
12,CODE-14-0655,2100 Boulder Court,2014-06-10T00:00:00.000,Enforcement,Noticed,2014-06-10T00:00:00.000,"2100 BOULDER CT, SOUTHLAKE, TX 76092",0,2014-06-10T00:00:00.000,"","",Property owners tree blocking the stop sign.,"",Enforcement,NA,Landscape and Tree,NA,Noticed,00391-3-10,"",""
19,CODE-14-0660,"",2014-06-11T00:00:00.000,Enforcement,In Progress,2014-06-11T16:09:25.000,"1434 WALTHAM DR, SOUTHLAKE, TX 76092",0,"","","","JT, Tues 6/10 at 6:27a, backyard sprinklers","",Enforcement,NA,Water Restriction,NA,In Progress,00244-4-1,"",""
10,CODE-14-0651,909 Independence Pkwy,2014-06-10T00:00:00.000,Enforcement,Closed,2014-06-11T00:00:00.000,"909 INDEPENDENCE PKWY, SOUTHLAKE, TX 76092",0,2014-06-06T00:00:00.000,2014-06-11T00:00:00.000,"","Reported to the HOA that this property has a pool that is not being maintained, too many people living in the home and a business being operated out of the home.","",Enforcement,NA,Property Maintenance Code,NA,Closed,00120-2-8,"",""
16,CODE-14-0652,909 Columbia Drive,2014-06-10T00:00:00.000,Enforcement,In Progress,2014-06-11T08:06:36.000,"902 COLUMBIA DR, SOUTHLAKE, TX 76092",0,2014-06-09T00:00:00.000,"","","Was sent to this property by Ken Baker, Planning Director who received a complaint that this property owner is operating a kennel and also grooming dogs inside the home.","",Enforcement,NA,Zoning,Accessory Uses,In Progress,00154-2-8,"",""
87,CODE-14-0723,1064 Harbor Retreat St.,2014-06-18T00:00:00.000,Enforcement,In Progress,2014-06-19T08:46:31.000,"1064 HARBOR RETREAT, SOUTHLAKE, TX 76092",0,2014-06-18T00:00:00.000,"","",Reported to Public Works then to Code that this property owner has trees that are over hanging into the roadway.,"",Enforcement,NA,Landscape and Tree,NA,In Progress,00054-3-1,"",""
53,CODE-14-0694,"",2014-06-17T00:00:00.000,Enforcement,In Progress,2014-06-17T17:53:34.000,"909 MIDLAND CREEK DR, SOUTHLAKE, TX 76092",0,"","","","RH, Tues 6/17/2014 5:12:00, Front sprinklers running.","",Enforcement,NA,Water Restriction,NA,In Progress,00232-12-5,"",""
61,CODE-14-0706,"",2014-06-17T00:00:00.000,Enforcement,In Progress,2014-06-17T18:17:29.000,"100 CHURCHILL CIR, SOUTHLAKE, TX 76092",0,"","","","RH, Tues 6/17/2014 8:29:00, Front sprinklers running.","",Enforcement,NA,Water Restriction,NA,In Progress,00295-2-23,"",""
62,CODE-14-0695,"",2014-06-17T00:00:00.000,Enforcement,In Progress,2014-06-17T17:55:16.000,"707 ASHLEIGH LN, SOUTHLAKE, TX 76092",0,"","","","Rh, Tues, 6/17/2014 5:22:00, Front sprinklers running. Flower beds.","",Enforcement,NA,Water Restriction,NA,In Progress,00232-34-7,"",""
20,CODE-14-0661,"",2014-06-11T00:00:00.000,Enforcement,In Progress,2014-06-11T16:17:01.000,"1307 BYRON NELSON PKWY, SOUTHLAKE, TX 76092",0,"","","","JT, Tues 6/10 at 6:38a, front sprinklers running","",Enforcement,NA,Water Restriction,NA,In Progress,00237-19-20,"",""
344,CODE-14-0984,808 Parkdale Drive,2014-07-16T00:00:00.000,Enforcement,In Progress,2014-07-17T10:11:21.000,"808 PARKDALE DR, SOUTHLAKE, TX 76092",0,2014-07-16T00:00:00.000,"","",Email sent to Public Works about this property owner not maintaining their pool.,"",Enforcement,NA,Health and Sanitation,NA,In Progress,00245-8-3,"",""
38,CODE-14-0684,"",2014-06-16T00:00:00.000,Enforcement,In Progress,2014-06-16T16:14:07.000,"1200 SABINE CT, SOUTHLAKE, TX 76092",0,"","","","ED, Mon 6/16 at 6:43am, sprinklers running in back yard","",Enforcement,NA,Water Restriction,NA,In Progress,00198-1-12,"",""
39,CODE-14-0686,"",2014-06-16T00:00:00.000,Enforcement,In Progress,2014-06-16T16:17:05.000,"900 BRAZOS DR, SOUTHLAKE, TX 76092",0,"","","","ED, Mon 6/16 at 6:58am, sprinklers running in back yard on garage side","",Enforcement,NA,Water Restriction,NA,In Progress,00198-1-115,"",""
321,CODE-14-0959,"",2014-07-14T00:00:00.000,Enforcement,In Progress,2014-07-14T10:45:34.000,"208 MANOR PL, SOUTHLAKE, TX 76092",0,"","","","RH, Mon 7/14/2014 5:54:00, Front sprinklers running. Left side of yard.","",Enforcement,NA,Water Restriction,NA,In Progress,00213-2-18,"",""
472,CODE-14-1113,2412 Taylor Street,2014-07-31T00:00:00.000,Enforcement,Noticed,2014-07-31T00:00:00.000,"2412 TAYLOR ST, SOUTHLAKE, TX 76092",0,2014-07-31T00:00:00.000,"","",Property owner has trees that are over hanging into the roadway.,"",Enforcement,NA,Landscape and Tree,NA,Noticed,00011-3-10,"",""
21,CODE-14-0669,"",2014-06-11T00:00:00.000,Enforcement,In Progress,2014-06-11T16:59:05.000,"2787 E SOUTHLAKE BLVD, #SHELL, SOUTHLAKE, TX 76092",0,"","","","Thompson, 6/11/2014 13:20:00, Sprinklers running along 1709. Jack took pictures and called it in.","",Enforcement,NA,Water Restriction,NA,In Progress,00314-1-3,"",""
22,CODE-14-0664,"",2014-06-11T00:00:00.000,Enforcement,"",2014-06-11T16:32:20.000,600 FAIRWAY VIEW ,0,2014-06-11T00:00:00.000,"","","ED, wednes 6/11 at 5:40am, sprinklers in front watering street",0,Enforcement,NA,Water Restriction,NA,"",00241-25-30,"",""
34,CODE-14-0677,"",2014-06-12T00:00:00.000,Enforcement,In Progress,2014-06-12T13:06:55.000,"1400 DARTMOUTH DR, SOUTHLAKE, TX 76092",0,"","","","RH, 6/12/2014 5:37:00 Thurs) front sprinklers running","",Enforcement,NA,Water Restriction,NA,In Progress,00213-7-74,"",""
35,CODE-14-0678,"",2014-06-12T00:00:00.000,Enforcement,In Progress,2014-06-12T13:09:46.000,"2309 RANCH HOUSE DR, SOUTHLAKE, TX 76092",0,"","","","RH, 6/12/2014 6:03:00 (Thurs) excessive runoff","",Enforcement,NA,Water Restriction,NA,In Progress,00401-1-8,"",""
36,CODE-14-0675,"",2014-06-12T00:00:00.000,Enforcement,In Progress,2014-06-12T13:02:15.000,"505 VICKSBURG WAY, SOUTHLAKE, TX 76092",0,"","","","RH, 6/12/2014 5:16:00, (Thurs) Front sprinklers running. excessive runoff","",Enforcement,NA,Water Restriction,NA,In Progress,00119-1-3,"",""
37,CODE-14-0676,"",2014-06-12T00:00:00.000,Enforcement,In Progress,2014-06-12T13:04:47.000,"903 CANTERBURY CT, SOUTHLAKE, TX 76092",0,"","","","RH, 6/12/2014 5:30:00 (thurs), Excessive run off. Front sprinklers running.","",Enforcement,NA,Water Restriction,NA,In Progress,00213-8-76,"",""
246,CODE-14-0886,"",2014-07-08T00:00:00.000,Enforcement,In Progress,2014-07-08T09:24:52.000,"860 CARLISLE LN, SOUTHLAKE, TX 76092",0,"","","","ED, Tues 7/8 at 5:24am, sprinklers running in front yard","",Enforcement,NA,Water Restriction,NA,In Progress,00048--3,"",""
208,CODE-14-0844,"",2014-07-02T00:00:00.000,Enforcement,In Progress,2014-07-02T09:42:26.000,"908 WESTMINSTER WAY, SOUTHLAKE, TX 76092",0,"","","","ED, Wed 7/2 at 5:23am, Sprinklers running in front yard are watering street (water waste)","",Enforcement,NA,Water Restriction,NA,In Progress,00280-1-41,"",""
23,CODE-14-0667,"",2014-06-11T00:00:00.000,Enforcement,Closed,2014-06-11T00:00:00.000,"912 STRATFORD DR, SOUTHLAKE, TX 76092",0,"",2014-06-11T00:00:00.000,"","ED, Wednes 6/11 at 6:17am, sprinklers in front watering drive and causing excessive runoff to drain +100ft away","",Enforcement,NA,Water Restriction,NA,Closed,00213-8-4,"",""
24,CODE-14-0668,"",2014-06-11T00:00:00.000,Enforcement,In Progress,2014-06-11T16:55:06.000,"1407 STONE LAKES DR, SOUTHLAKE, TX 76092",0,"","","","ED, Wednes 6/11 at 6:37am, sprinklers in front watering (wrong day)","",Enforcement,NA,Water Restriction,NA,In Progress,00213-3-26,"",""
209,CODE-14-0849,"",2014-07-02T00:00:00.000,Enforcement,In Progress,2014-07-02T09:57:46.000,"1102 FONTAINE DR, SOUTHLAKE, TX 76092",0,"","","","ED, Wed 7/2 at 6:47am, sprinlers running on right side of home irrigating drive and street","",Enforcement,NA,Water Restriction,NA,In Progress,00258-1-5,"",""
210,CODE-14-0847,"",2014-07-02T00:00:00.000,Enforcement,In Progress,2014-07-02T09:53:12.000,"1403 VINO ROSSO CT, SOUTHLAKE, TX 76092",0,"","","","ED, Wed 7/2 at 6:16am,sprinklers running in front yard","",Enforcement,NA,Water Restriction,NA,In Progress,00124-1-9,"",""
247,CODE-14-0887,"",2014-07-08T00:00:00.000,Enforcement,In Progress,2014-07-08T09:26:46.000,"1207 SARAH PARK TRL, SOUTHLAKE, TX 76092",0,"","","","ED, Tues 7/8 at 5:35am, sprinklers running in front yard","",Enforcement,NA,Water Restriction,NA,In Progress,00242-16-44,"",""
410,CODE-14-1051,"",2014-07-25T00:00:00.000,Enforcement,In Progress,2014-07-25T13:18:17.000,"1005 BERKSHIRE RD, SOUTHLAKE, TX 76092",0,"","","","RH, 7/25/2014 6:08:00, Sprinklers running left side of house. Water running 300 ft or more down the street.","",Enforcement,NA,Water Restriction,NA,In Progress,00418-1-3,"",""
411,CODE-14-1052,"",2014-07-25T00:00:00.000,Enforcement,In Progress,2014-07-25T13:26:05.000,"1701 LIVE OAK LN, SOUTHLAKE, TX 76092",0,"","","","CC, 7/25/2014 6:17:00, watering north side of back yard ""wrong day"".","",Enforcement,NA,Water Restriction,NA,In Progress,00164-2-1,"",""
414,CODE-14-1056,"",2014-07-25T00:00:00.000,Enforcement,In Progress,2014-07-25T14:00:15.000,"907 NOTTINGHAM CIR, SOUTHLAKE, TX 76092",0,"","","","RH, 7/25/2014 7:06:00, Front sprinklers running.","",Enforcement,NA,Water Restriction,NA,In Progress,00213-8-63,"",""
25,CODE-14-0665,"",2014-06-11T00:00:00.000,Enforcement,In Progress,2014-06-11T16:44:16.000,"102 BELMONT PLACE CIR, SOUTHLAKE, TX 76092",0,"","","","ED, Wednes 6/11 at 6am, sprinklers in front causing excessive runoff from drive to drain 200 ft+ away","",Enforcement,NA,Water Restriction,NA,In Progress,00295-2-14,"",""
27,CODE-14-0663,"",2014-06-11T00:00:00.000,Enforcement,"",2014-06-11T16:28:41.000,606 FAIRWAY VIEW ,0,2014-06-11T00:00:00.000,"","","ED, wednes 6/11 at 5:37am, sprinklers in front yard causing excessive runoff from drive >100 ft",0,Enforcement,NA,Water Restriction,NA,"",00241-25-27,"",""
28,CODE-14-0662,"",2014-06-11T00:00:00.000,Enforcement,"",2014-06-11T16:23:38.000,1522 BYRON NELSON ,0,2014-06-11T00:00:00.000,"","","ED, wednes 6/11 at 5:24am, sprinklers in front yard causing excessive runoff and watering street. ",0,Enforcement,NA,Water Restriction,NA,"",00239-1-18,"",""
26,CODE-14-0666,"",2014-06-11T00:00:00.000,Enforcement,In Progress,2014-06-11T16:46:24.000,"202 E CHAPEL DOWNS DR, SOUTHLAKE, TX 76092",0,"","","","ED, Wednes 6/11 at 6:09am, sprinklers in front close to drive watering street","",Enforcement,NA,Water Restriction,NA,In Progress,00295-5-7,"",""
17,CODE-14-0659,1360 N Kimball Ave.,2014-06-10T00:00:00.000,Enforcement,Noticed,2014-06-10T00:00:00.000,"1360 N KIMBALL AVE, SOUTHLAKE, TX 76092",0,2014-06-10T00:00:00.000,"","",Reported to Public Works that this tenant is constructing a storage building without a permit.,"",Enforcement,NA,Work Without a Permit,NA,Noticed,00376--2A03A,"",""
18,CODE-14-0653,548 Silicon Drive,2014-06-06T00:00:00.000,Enforcement,Closed,2014-06-11T00:00:00.000,"548 SILICON DR, #SHELL, SOUTHLAKE, TX 76092",0,2014-06-06T00:00:00.000,2014-06-11T00:00:00.000,"",Noticed two PODS that were delivered to this business complex without a permit.,"",Enforcement,NA,Zoning,Accessory Uses,Closed,00313-3-4R1,"",""
43,CODE-14-0680,"",2014-06-16T00:00:00.000,Enforcement,In Progress,2014-06-16T16:07:23.000,"150 LILAC LN, SOUTHLAKE, TX 76092",0,"","","","ED, Mon 6/16 at 5:40am, spinklers running on left side of home","",Enforcement,NA,Water Restriction,NA,In Progress,00086--8,"",""
31,CODE-14-0671,1306 Pecos Drive,2014-04-15T00:00:00.000,Enforcement,Closed,2014-06-12T00:00:00.000,"1306 PECOS DR, SOUTHLAKE, TX 76092",0,2014-04-15T00:00:00.000,2014-06-12T00:00:00.000,"",Was told to stay away from this property.  Possible drug house.  Squatters moved in.,"",Enforcement,NA,Miscellaneous,NA,Closed,00198-3-9,"",""
64,CODE-14-0701,"",2014-06-17T00:00:00.000,Enforcement,In Progress,2014-06-17T18:04:33.000,"209 LOVEGRASS LN, SOUTHLAKE, TX 76092",0,"","","","RH, Tues 6/17/2014 6:36:00, Front sprinklers running.","",Enforcement,NA,Water Restriction,NA,In Progress,00122-6-8,"",""
412,CODE-14-1053,"",2014-07-25T00:00:00.000,Enforcement,In Progress,2014-07-25T13:39:08.000,"1287 SUNSHINE LN, SOUTHLAKE, TX 76092",0,"","","","CC, 7/25/2014 6:27:00, watering in the front yard ""wrong day"".","",Enforcement,NA,Water Restriction,NA,In Progress,00376--3A01J4,"",""
63,CODE-14-0702,"",2014-06-17T00:00:00.000,Enforcement,In Progress,2014-06-17T18:06:31.000,"1905 HAY MEADOW CT, SOUTHLAKE, TX 76092",0,"","","","RH, Tues, 6/17/2014 6:40:00, Front sprinklers running. Right of driveway.","",Enforcement,NA,Water Restriction,NA,In Progress,00122-7-6,"",""
32,CODE-14-0674,200 Village Center Drive (Petsmart),2014-06-11T00:00:00.000,Enforcement,Noticed,2014-06-12T00:00:00.000,"200 VILLAGE CENTER DR, SOUTHLAKE, TX 76092",0,2014-06-10T00:00:00.000,"","",Received a complaint that the Petsmart has a problem with rat infestation.,"",Enforcement,NA,Health and Sanitation,NA,Noticed,00259-2-3,"",""
52,CODE-14-0693,"",2014-06-17T00:00:00.000,Enforcement,In Progress,2014-06-17T17:49:41.000,"2712 BROOKSHIRE DR, SOUTHLAKE, TX 76092",0,"","","","RH, Tues 6/13/2014 10:45:00, Sprinklers running on right side of house along the curb line.","",Enforcement,NA,Water Restriction,NA,In Progress,00280-2-37,"",""
65,CODE-14-0700,"",2014-06-17T00:00:00.000,Enforcement,In Progress,2014-06-17T18:02:49.000,"211 KILLDEER TRL, SOUTHLAKE, TX 76092",0,"","","","RH, Tues 6/17/2014 6:23:00, Sprinklers running left of driveway.","",Enforcement,NA,Water Restriction,NA,In Progress,00122-1-1,"",""
46,CODE-14-0687,3205 E. State Hwy 114 (Northgate),2014-05-19T00:00:00.000,Enforcement,Closed,2014-05-30T00:00:00.000,"3205 E SH 114, SOUTHLAKE, TX 76092",0,2014-05-19T00:00:00.000,2014-05-30T00:00:00.000,"",Reported that the area near 114 which is owned by Northgate has high grass/weeds.,"",Enforcement,NA,Tall Grass and Weeds,NA,Closed,00199-A-5A,"",""
33,CODE-14-0673,415 Highland Oaks Circle,2014-06-11T00:00:00.000,Enforcement,In Progress,2014-06-12T09:22:03.000,"415 HIGHLAND OAKS CIR, SOUTHLAKE, TX 76092",0,2014-06-11T00:00:00.000,"","",Reported by Timarron HOA that this property owner is doing work in his backyard and the street is a mess.,"",Enforcement,NA,Public Works,NA,In Progress,00353--8E01,"",""
29,CODE-14-0670,1400 Main St.,2014-06-03T00:00:00.000,Enforcement,Closed,2014-06-05T00:00:00.000,"1400 MAIN ST, SOUTHLAKE, TX 76092",0,2014-06-03T00:00:00.000,2014-06-05T00:00:00.000,"",Email from Joe Walsh about over hanging trees blocking the stop sign at Florence Rd and Pearson.  Entering this case under city address since the property is in the city limits of Keller.,"",Enforcement,NA,Landscape and Tree,NA,Closed,00205-6-,"",""
473,CODE-14-1114,101 N Pearson Ln. (Lenny Lopez political sign),2014-07-31T00:00:00.000,Enforcement,In Progress,2014-08-01T09:04:07.000,"101 N PEARSON LN, SOUTHLAKE, TX 76092",0,2014-07-31T00:00:00.000,"","",Reported that there is a political sign for Lenny Lopez on this property from the May election.,"",Enforcement,NA,Signs,Other,In Progress,00305-3R-13,"",""
30,CODE-14-0672,707 Portofino Place,2014-05-17T00:00:00.000,Enforcement,Closed,2014-05-22T00:00:00.000,"707 PORTOFINO PL, SOUTHLAKE, TX 76092",0,2014-05-17T00:00:00.000,2014-05-22T00:00:00.000,"",Reported that this property owner who lives in Siena that across the entrance to the subdivision where David Weekly is building new homes water is puddling up in the drainage ditch.,"",Enforcement,NA,Public Works,NA,Closed,00191-3-1,"",""
54,CODE-14-0697,"",2014-06-17T00:00:00.000,Enforcement,In Progress,2014-06-17T17:58:32.000,"505 EVERWOOD CT, SOUTHLAKE, TX 76092",0,"","","","RH, Tues, 6/17/2014 5:38:00, Front sprinklers running.","",Enforcement,NA,Water Restriction,NA,In Progress,00229-53-1,"",""
